Full,WR,SpType,l_,"vmag
mag",u_,"b-v
mag",u_,"(b-v)0
mag","Av
mag","Mv(WR)
mag","dM
mag","d
kpc","z
pc",Note
1,1,WN4,,10.51,,0.51,,-0.15,2.72,-3.51,,1.82,60,
2,2,WN2,,11.33,,0.13,,-0.3,1.75,-2.42,,2.51,-106,*
3,3,WN3+O4,,10.7,,-0.06,,-0.26,0.82,-3.09,-0.27,5.94,-429,*
4,4,WC5+?,,10.53,,0.2,,-0.27,1.93,-3.34,,2.44,-127,*
5,5,WC6,,11.02,,0.47,,-0.32,3.24,-3.63,,1.91,-72,*
6,6,WN4,,6.94,,-0.07,,-0.2,0.53,-3.52,,0.97,-170,*
7,7,WN4,,11.68,,0.38,,-0.2,2.38,-3.52,,3.67,-8,*
8,7a,WN4/WC,,,,,,,,,,,,
9,8,WN7/WCE+?,,10.48,,0.47,,-0.17,2.64,,,3.47,-229,
10,9,WC5+O7,,10.93,,0.74,,-0.38,4.59,-3.34,-0.71,1.47,-124,*
11,10,"WN5ha (+A2V, VB)",,11.08,,0.22,,-0.27,2,-2.85,-1.04,4.61,47,*
12,11,WC8+O7.5III-V,,1.74,,-0.32,,-0.34,0.08,-3.68,-1.47,0.26,-35,*
13,12,WN8h+?,,10.99,,0.42,,-0.3,2.96,-5.48,,5.04,-173,*
14,13,WC6,,13.78,,0.82,,-0.32,4.67,-3.63,,3.53,-47,
15,14,WC7+?,,9.42,,0.13,,-0.33,1.9,-3.98,,2,-57,
16,15,WC6,,11.72,,0.72,,-0.36,4.41,-3.63,,1.54,-29,
17,16,WN8h,,8.44,,0.3,,-0.2,2.05,-5.48,,2.37,-105,
18,17,WC5,,11.03,,0.14,,-0.27,1.68,-3.34,,3.45,-222,
19,18,WN4,,11.11,,0.55,,-0.16,2.92,-3.52,,2.2,-37,
20,19,WC4pd+O9.6,,13.75,,1.06,,-0.27,5.45,-3.34,-0.37,3.3,-69,*
21,19a,WN7:(h),,17.45,,1.71,,-0.18,7.75,-5.41,,10.52,-185,
22,20,WN5,,14.45,,0.88,,-0.2,4.43,-4.05,,6.52,-209,
23,20a,WN7:h/WC,,14.14,,1.38,,-0.27,6.76,-6.42,,5.75,-34,
24,20b,WN6:h,,15.4,,1.69,,-0.19,7.71,-4.09,,2.27,-14,
25,21,WN5+O4-6,,9.76,,0.27,,-0.29,2.3,-4.05,-1.09,3.88,-61,*
26,21a,WN6+O/a,,12.8,),,,-0.25,,-4.09,,,,
27,22,WN7h+O9III-V,,6.44,,0.03,,-0.2,0.94,-6.69,2.8,3.24,-48,
28,23,WC6,,9.67,,-0.05,,-0.32,1.09,-3.97,,3.24,-2,
29,24,WN6ha,,6.49,,-0.06,,-0.21,0.62,-6.68,,3.24,-61,
30,25,WN6h+O4f,,8.14,,0.17,,-0.27,1.79,-6.2,,3.24,-40,*
31,26,WN7/WCE,,14.61,,0.92,,,,,,,,
32,27,WC6+a,,14.96,,1.29,,-0.32,6.6,-3.63,,2.5,5,
33,28,WN6(h)+OB?,,12.98,,0.77,,-0.19,3.94,-4.09,-1.86,10.81,28,*
34,29,WN7h+O,,12.65,,0.65,,-0.2,3.49,-5.41,-1.31,17.17,-303,*
35,30,WC6+O6-8,,11.73,,0.27,,-0.35,2.54,-3.63,-0.47,5.83,-265,*
