Full,New,WR,Name,GCVS,OName,LS,Aname,"RAJ2000
""h:m:s""","DEJ2000
""d:m:s""",r_Pos,"GLON
deg","GLAT
deg",r_FC,Name,SpType,r_,l_,"vmag
mag",u_,"b-v
mag",u_,r_vmag,"vinf
km/s","vinf2
km/s",r_vinf,l_,"Per
d",n_,Binary,r_Per
1,,1,,,HD 4004,LS I+64 34,HIP 3415,00 43 28.40,+64 45 35.40,Hip,122.08,1.9,VI,HD 4004,WN4,SS96*,,10.51,,0.51,,Ma84,2100,,HS92,,6.1,", 7.746, 11.68",SB1?,"La83,MS86,MMH98,MG99,Ni00"
2,,2,,,HD 6327,LS I+60 137,HIP 5100,01 05 23.03,+60 25 18.90,Hip,124.65,-2.41,VI,HD 6327,WN2,SS96*,,11.33,,0.13,,Ma84,3200,,HS92,,18.59,", 2.171, long term",VB,"Hip97,MMH98"
3,,3,,,HD 9974,LS I+57 24,HIP 7681,01 38 55.63,+58 09 22.70,Hip,129.18,-4.14,VI,HD 9974,WN3+O4,SS96*,,10.7,,-0.06,,Ma84,,,,,46.85,-0.02,SB2,"MLS86,MS86,SH89,SM89,SS96"
4,,4,,V493 Per,HD 16523,LS I+56 62,HIP 12527,02 41 11.68,+56 43 49.70,Hip,137.59,-2.98,VI,HD 16523,WC5+?,VI,,10.53,,0.2,,Ma84,1900,,KH95,,2.4096,", 10:","SB1, no d.e.l.","MS86,CM89,RC89,SS90,t.w."
5,,5,,,HD 17638,LS I+56 77,HIP 13380,02 52 11.66,+56 56 07.10,Hip,138.87,-2.15,VI,HD 17638,WC6,VI,,11.02,,0.47,,Ma84,2100,,TC86u,,,,,
6,,6,HR 2583,EZ CMa,HD 50896,LSS 98,HIP 33165,06 54 13.05,-23 55 42.10,Hip,234.76,-10.08,VI,HD 50896,WN4,SS96*,,6.94,,-0.07,,VI,1800,,"EW94,Sc97",,3.765,-0.0001,SB1?,"FK80,DH96,MM98,MMH98,GK99,NG99a"
7,,7,,,HD 56925,LSS 299,HIP 35378,07 18 29.13,-13 13 01.50,Hip,227.75,-0.13,VI,HD 56925,WN4,SS96*,,11.68,,0.38,,TM88,1600,,HK95,,,long term,,MMH98
8,N,7a,PMLC 1,,SPH 2,,GSC 6537-0281,07 20 22.38,-23 43 57.60,GSC,237.27,-4.64,SP90,PMLC 1,WN4/WC,PM98,,,,,,,,,,,,,,
9,,8,,,HD 62910,LSS 731,HIP 37791,07 44 58.22,-31 54 29.60,Hip,247.07,-3.79,VI,HD 62910,WN7/WCE+?,SS96*,,10.48,,0.47,,TM88,1590,,CS95d,,38.4,", 115 +- 13",SB1,"Ni91,MMH98"
10,,9,IC 2206,,HD 63099,LSS 753,HIP 37876,07 45 50.40,-34 19 48.50,Hip,249.27,-4.84,VI,HD 63099,WC5+O7,HH88,,10.93,,0.74,,TM88,,,,,14.305,,SB2,"NM84,SM89,Ni95,LM96"
11,,10,AS 193,,HD 65865,LSS 916,HIP 39086,07 59 46.25,-28 44 03.10,Hip,245.98,0.58,VI,HD 65865,WN5ha (+A2V),NG99a,,11.08,,0.22,,TM88,1475,,PB90,,,,VB,"Ni81,Tu81,Hip97,HH88,NG99a"
12,,11,gamma^2 Vel,,HD 68273,LSS 980,HIP 39953,08 09 31.96,-47 20 11.80,Hip,262.8,-7.69,VI,gamma^2 Vel,WC8+O7.5III-V,DS99,,1.74,,-0.32,,VI,1450,,EW94,,78.53,,"SB2, VB","SSS97,DS99,NG99a,SSK99,TC99,DS00"
13,,12,Ve5-5,,CD-45 4482,LSS 1145,GSC 8151-4295,08 44 47.25,-45 58 55.50,GSC,265.2,-1.97,VI,Ve 5-5,WN8h+?,SS96,,10.99,,0.42,,TM88,1100,,HK95,,23.923,,"SB1, no d.e.l.","Ni82,CM89,SM89,LM96,RVG96,t.w."
14,,13,Ve6-15,,,LSS 1170,GSC 8152-2075,08 49 52.88,-45 10 24.10,GSC,265.13,-0.77,VI,Ve 6-15,WC6,VI,,13.78,,0.82,,TM88,1700,,KH95,,,,,
15,,14,Ve5-8,,HD 76536,LSS 1202,HIP 43778,08 54 59.17,-47 35 32.70,Hip,267.55,-1.64,VI,HD 76536,WC7+?,"SS90,Sh90",,9.42,,0.13,,TM88,1900,,EW94,,2.42,,"SB1, no d.e.l.","CM89,Sh90,SS90,NG99a,t.w."
16,,15,Ve5-10,,HD 79573,LSS 1259,HIP 45237,09 13 11.77,-50 06 25.60,Hip,271.42,-1.08,VI,HD 79573,WC6,VI,,11.72,,0.72,,TM88,2700,,KH95,,,,,
17,,16,,V396 Car,HD 86161,LSS 1374,HIP 48617,09 54 52.91,-57 43 38.30,Hip,281.08,-2.55,VI,HD 86161,WN8h,SS96,,8.44,,0.3,,TM88,630,,CS95b,,75.2,",20.88,17.54,11.74,10.73, 9.28",,"MN82,BE89,GH89,GVM90,AB95,MMH98,NG99a"
18,,17,,,HD 88500,LSS 1440,HIP 49838,10 10 31.92,-60 38 42.40,Hip,284.44,-3.69,VI,HD 88500,WC5,VI,,11.03,,0.14,,TM88,1800,,KH95,,,,,
19,,18,,V500 Car,HD 89358,LSS 1481,HIP 50368,10 17 02.28,-57 54 46.90,Hip,283.57,-0.97,VI,HD 89358,WN4,SS96*,,11.11,,0.55,,TM88,2100,,HK95,,,long term,,MMH98
20,,19,LS 3,,,,,10 18 05.02,-58 16 25.90,L2,283.89,-1.19,VI,LS 3,WC4pd+O9.6,WH96,,13.75,,1.06,,TM88,,,,,3690,,CWB,VH98
21,N,19a,SMSP 1,,,,,10 18 53.40,-58 07 53.00,SM91,283.9,-1.01,SM91,SMSP 1,WN7:(h),SM99,,17.45,,1.71,,SM91,,,,,,,,
22,,20,BS 1,,Th35-24,,,10 19 18.50,-59 09 37.00,VIp,284.51,-1.84,VI,BS 1,WN5,SS96*,,14.45,,0.88,,TM88,1400,,HK95,,,,,
