objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,class
1237650795682726190,19.36548,18.94647,19.04925,19.21883,19.35806,STAR
1237648722289295504,20.36442,18.21354,17.38881,17.11562,17.32,STAR
1237648721752424633,19.31302,18.13527,17.67289,17.49996,17.44187,STAR
1237648721752424612,24.85999,20.76403,19.18368,17.93489,17.28289,STAR
1237651752921595910,18.32052,17.01957,16.47373,16.26664,16.14915,STAR
1237650797293469748,18.91744,17.79122,17.32336,17.11779,17.05456,STAR
1237651752923365433,18.36897,17.38656,17.08591,16.97711,16.95391,STAR
1237648722291261897,23.75014,22.41916,20.88963,19.59113,18.87274,STAR
1237648721754718224,18.98954,17.9579,17.60297,17.46679,17.42479,STAR
1237648721754521615,18.80408,17.61606,17.17328,16.99956,16.94129,STAR
1237648721754915264,23.93062,22.26128,20.88265,19.57511,18.86669,STAR
1237648720147775596,18.94073,17.80078,17.4077,17.24629,17.20279,STAR
1237648721221713944,18.43512,17.30352,17.19988,17.21554,17.21168,STAR
1237654668665618549,19.48368,18.39784,17.934,17.72263,17.57321,STAR
1237648720147513427,18.73194,17.73994,17.42425,17.29153,17.2543,STAR
1237648720147513422,18.27868,17.3452,17.088,16.95724,16.92773,STAR
1237654669202358298,15.70168,14.58722,14.40353,14.36599,14.43032,STAR
1237654669739426110,20.29221,19.14953,18.99714,18.97365,18.97546,STAR
1237648720684515393,18.69144,17.61558,17.20117,17.03712,16.97945,STAR
1237648720147316901,18.59831,17.32915,17.30964,17.3299,17.31147,STAR
1237654669202292738,18.00918,16.9754,16.63921,16.50193,16.49563,STAR
1237654668665356420,19.90557,17.32327,16.2546,15.863,15.65124,STAR
1237648720684449967,20.60659,19.51278,19.26434,19.17405,19.12721,STAR
1237654669739360266,17.02405,15.99468,15.60916,15.44568,15.37314,STAR
1237654669739294972,20.37675,20.20658,20.50474,20.74228,21.31798,STAR
1237648720150921307,17.30171,16.04475,16.09419,16.15114,16.17701,STAR
1237674648848826415,21.80515,18.96441,17.42259,16.63224,16.13205,STAR
1237674648848892149,19.2159,18.20716,17.82453,17.71324,17.66754,STAR
1237648721224859802,18.67919,18.29638,18.56213,18.82112,19.08725,STAR
1237674648848695380,18.34959,17.13665,17.30112,17.45741,17.51397,STAR
1237648720687792145,18.80905,18.37338,18.64598,18.83105,19.01808,STAR
1237674649922699746,25.17151,22.54563,20.89816,19.87771,19.30861,STAR
1237674649385697523,19.2428,18.15261,17.73896,17.57965,17.4893,STAR
1237674649385500695,23.37236,20.45634,19.03411,18.42357,18.44763,STAR
1237648720150659220,20.2135,19.09905,18.96124,18.94537,18.99385,STAR
1237648720150528151,17.96716,16.8582,16.49776,16.34852,16.30215,STAR
1237674650461995120,20.19233,18.89934,18.37691,18.13039,18.00245,STAR
1237674650461995146,21.59327,20.04613,19.32025,19.00969,18.8746,STAR
1237674650461995140,20.68072,19.03672,18.44939,18.21711,18.11023,STAR
1237648721227022449,19.34245,18.44862,18.68546,18.87642,19.02608,STAR
1237648721226956838,18.73286,17.51029,17.10567,17.12384,16.89732,STAR
1237674648850858157,20.28601,19.35361,19.04722,18.94363,18.95143,STAR
1237648720152887305,18.36361,17.06105,16.55137,16.37948,16.29799,STAR
1237671139870179517,19.9396,18.91541,18.80982,18.79282,18.78721,STAR
1237671127514873983,19.82096,18.84855,18.72609,18.60042,18.76972,STAR
1237674649390612542,16.87853,15.79728,15.7045,15.7041,15.77911,STAR
1237671139870376052,16.55712,15.46448,15.12134,14.95046,14.96421,STAR
1237671128052596744,17.26816,16.25302,15.9382,15.82679,15.78908,STAR
1237671128052400142,19.05655,18.03675,17.67915,17.57789,17.54446,STAR
1237671140407902222,18.53706,17.67741,17.42338,17.2954,17.28419,STAR
1237671126978658352,17.94062,16.91187,16.85751,16.82972,16.91412,STAR
1237648702966792209,17.47356,16.51067,16.19124,16.04983,16.00548,STAR
1237648704040468576,17.80315,16.61922,16.17091,16.02812,15.9451,STAR
1237648720695591211,23.92619,22.88572,21.16475,18.4511,16.86807,STAR
1237648720695526115,25.98316,21.68548,20.9945,18.90176,18.17348,STAR
1237648704040468547,17.50237,16.50231,16.08183,15.91243,15.81577,STAR
1237648703503401077,19.74058,18.77369,18.54852,18.46758,18.53138,STAR
1237648720695329097,23.47084,20.65292,19.00094,16.6872,15.39229,STAR
1237651801233752349,22.52952,21.93192,21.28724,18.83464,17.55248,STAR
1237648721754194301,23.85165,20.90929,19.43042,18.91536,18.00374,STAR
1237651801770950678,18.93571,18.53748,18.70605,18.91966,19.07875,STAR
1237648722291327202,20.24182,18.6184,17.93751,17.65176,17.45111,STAR
1237651801772786240,23.91075,21.15034,20.10213,19.59399,19.30303,STAR
1237648722293162173,19.81726,18.30672,17.38045,16.86656,16.48656,STAR
1237651801235915034,21.11963,18.78199,17.55345,16.93372,16.64421,STAR
1237648722830032922,18.04258,17.2086,16.90108,16.76781,16.72614,STAR
1237651801772982372,18.89974,17.56855,16.98708,16.7599,16.67617,STAR
1237654670274461896,18.81785,17.59647,17.16047,16.9793,16.88694,STAR
1237654670813888640,18.51908,17.305,17.13683,17.08788,17.08091,STAR
1237648721759240361,19.65659,18.85763,17.65486,17.44869,17.343,STAR
1237654671351021738,19.71706,18.44161,18.15666,18.05176,17.99267,STAR
1237648721759436834,17.87611,16.75256,16.37082,16.23594,16.18406,STAR
1237648721759567898,17.84553,16.82906,16.75385,16.88843,16.94442,STAR
1237654670814347310,16.0447,14.9417,14.42419,14.80841,14.66638,STAR
1237654670814412924,19.14672,17.88664,17.63626,17.57507,17.54032,STAR
1237654670814478466,20.11495,17.50846,16.41219,16.01455,15.81732,STAR
1237654671351349403,20.87204,18.39154,17.19805,16.63841,16.30997,STAR
1237648720152166412,18.37166,17.14814,16.67478,16.48941,16.43557,STAR
1237674649923682436,17.7792,16.74297,16.34375,16.17258,16.11201,STAR
1237674649389039628,18.49077,17.20073,16.72152,16.51433,16.44696,STAR
1237674649925976237,20.77154,18.20747,17.10442,16.6898,16.47256,STAR
1237674648851972252,21.04387,18.46007,17.24048,16.7522,16.50089,STAR
1237674648851972354,24.71451,21.5652,20.10904,18.75782,18.08202,STAR
1237674648851972219,20.75373,18.24672,17.0525,16.59445,16.35971,STAR
