|name|alt_name_1|alt_name_2|ra|dec|vmag|spect_type|alt_name_3|alt_name_4|alt_name_5|lii|bii|ref_coords|ref_chart|open_cluster|ob_association|ref_oc_ob|other_correlations|ref_other|ref_spect_type|vmag_flag|bv_color|bv_color_flag|ref_mag|v_inf|ref_v_inf|period|binary_status|ref_binary_status|bv_color_0|e_bv|reddening|vmag_0|abs_vmag_wr|delta_m|abs_vmag_sys|true_dm|distance|z_distance|gc_distance|note_flag|class|
|WR 1    |              |          |00 43 28.40|+64 45 35.4|10.51|WN4             |HD 4004        |LS I+64 34 |HIP 3415      |122.08254|  1.90122|Hip       |VI       |                |Cas OB7:      |VI,LS84,GS92          |                                                           |                                                               |SS96*         |         | 0.51   |             |Ma84   |2100  |HS92     |6.1, 7.746, 11.68                     |SB1?               |La83,MS86,MMH98,MG99,Ni00                          |-0.15     | 0.66| 2.72    | 7.79 |-3.51      |       |            |   11.3|    1.82|        60| 9.1       |         |   WOLF RAYET STAR WN4|
|WR 10   |AS 193        |          |07 59 46.25|-28 44 03.1|11.08|WN5ha (+A2V)    |HD 65865       |LSS  916   |HIP 39086     |245.97994|  0.57505|Hip       |VI       |Ru 44:          |Pup OB2       |Tu81,VI,LS84,RF84     |                                                           |                                                               |NG99a         |         | 0.22   |             |TM88   |1475  |PB90     |                                      |VB                 |Ni81,Tu81,Hip97,HH88,NG99a                         |-0.27     | 0.49| 2.00    | 9.08 |-2.85      |-1.04  |-4.24       |  13.32|    4.61|        47|10.7       |Y        |   WOLF RAYET STAR WN5|
|WR 100  |              |          |17 42 09.77|-32 33 24.7|13.44|WN7             |HDE 318139     |LSS 4334   |GSC 7381-1214 |356.52688| -1.26496|GSC       |VI       |                |              |                      |maybe diff. H-alpha                                        |MC94                                                           |SS96*         |         | 1.17   |             |VI     |1600  |HK95     |                                      |                   |                                                   |-0.18     | 1.35| 5.54    | 7.91 |-5.41      |       |            |  13.32|    4.61|      -101| 3.4       |         |   WOLF RAYET STAR WN7|
|WR 101  |DA 3          |          |17 45 09.10|-31 50 16.0|16.40|WC8             |               |           |              |357.47096| -1.42645|VIp       |VI       |                |              |                      |Anon(WR 101) (r:), IRAS shell                              |MY94,Ma96,Ma97                                                 |HH88          |         | 1.50   |             |HH88   |      |         |                                      |                   |                                                   |-0.36     | 1.86| 7.63    | 8.77 |-3.74      |       |            |  12.51|    3.18|       -79| 4.8       |         |   WOLF RAYET STAR WC8|
|WR 101a |BSD 1         |          |17 45 39.49|-29 00 34.2|42.10|WC9             |               |           |              |359.94176| -0.04533|BS96      |BS95     |Galactic Center |              |BS96                  |                                                           |                                                               |BS95          |         | 7.40   |             |       |      |         |                                      |                   |                                                   |-0.45     | 7.85|32.20    | 9.90 |-4.62      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WC9-11|
|WR 101b |KGE 1         |          |17 45 39.57|-29 00 32.0|40.60|WN9-11          |AF-NW          |           |              |359.94244| -0.04526|BS96      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |Cr99,GP00     |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101c |KGE 2         |          |17 45 39.63|-29 00 35.6|40.60|WN9-11          |AF             |           |              |359.94170| -0.04597|BS96      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |Cr99          |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101d |KGE 3         |          |17 45 39.63|-29 00 27.0|42.10|WC9             |GC IRS 6E      |           |              |359.94373| -0.04472|Kr98      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |KG95          |         | 7.40   |             |       |      |         |                                      |                   |                                                   |-0.45     | 7.85|32.20    | 9.90 |-4.62      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WC9-11|
|WR 101e |KGE 4         |          |17 45 39.75|-29 00 22.8|40.60|WN9-10          |GC IRS 7W      |           |              |359.94496| -0.04449|Kr98      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |NK97          |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101f |KGE 5         |          |17 45 39.80|-29 00 29.5|40.60|WN9-10+?        |GC IRS 13E1    |           |              |359.94346| -0.04562|Ec98      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |NK97,GP00     |         | 7.51   |             |       |      |         |                                      |over-luminous      |CP00                                               |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
